Point,square_id,x_start,y_start,depth,Date,date_id
CH_95_NW_start,CH_95,2,3,4.85,08/25/1932,9
CH_95_NE_start,CH_95,3,3,4.85,08/25/1932,9
CH_95_SE_start,CH_95,3,2,4.85,08/25/1932,9
CH_95_SW_start,CH_95,2,2,4.85,08/25/1932,9
CH_95_NW_end,CH_95,2,3,3.25,08/25/1932,9
CH_95_NE_end,CH_95,3,3,3.25,08/25/1932,9
CH_95_SE_end,CH_95,3,2,3.25,08/25/1932,9
CH_95_SW_end,CH_95,2,2,3.25,08/25/1932,9
CH_96_NW_start,CH_96,3,3,1.1,08/25/1932,9
CH_96_NE_start,CH_96,4,3,1.1,08/25/1932,9
CH_96_SE_start,CH_96,4,2,1.2,08/25/1932,9
CH_96_SW_start,CH_96,3,2,1.2,08/25/1932,9
CH_96_NW_end,CH_96,3,3,0.7,08/25/1932,9
CH_96_NE_end,CH_96,4,3,0.7,08/25/1932,9
CH_96_SE_end,CH_96,4,2,0.7,08/25/1932,9
CH_96_SW_end,CH_96,3,2,0.7,08/25/1932,9
CH_96_NW_start,CH_96,3,3,1.05,08/27/1932,11
CH_96_NE_start,CH_96,4,3,1.05,08/27/1932,11
CH_96_SE_start,CH_96,4,2,1.2,08/27/1932,11
CH_96_SW_start,CH_96,3,2,1.2,08/27/1932,11
CH_96_NW_end,CH_96,3,3,0.2,08/27/1932,11
CH_96_NE_end,CH_96,4,3,0.2,08/27/1932,11
CH_96_SE_end,CH_96,4,2,0.35,08/27/1932,11
CH_96_SW_end,CH_96,3,2,0.35,08/27/1932,11
CH_96_NW_start,CH_96,3,3,1.35,08/28/1932,12
CH_96_NE_start,CH_96,4,3,1.35,08/28/1932,12
CH_96_SE_start,CH_96,4,2,1.35,08/28/1932,12
CH_96_SW_start,CH_96,3,2,1.35,08/28/1932,12
CH_96_NW_end,CH_96,3,3,0.35,08/28/1932,12
CH_96_NE_end,CH_96,4,3,0.35,08/28/1932,12
CH_96_SE_end,CH_96,4,2,0.35,08/28/1932,12
CH_96_SW_end,CH_96,3,2,0.35,08/28/1932,12
CH_97_NW_start,CH_97,4,3,1.15,08/25/1932,9
CH_97_NE_start,CH_97,5,3,3.3,08/25/1932,9
CH_97_SE_start,CH_97,5,2,0.7,08/25/1932,9
CH_97_SW_start,CH_97,4,2,0.7,08/25/1932,9
CH_97_NW_end,CH_97,4,3,,08/25/1932,9
CH_97_NE_end,CH_97,5,3,,08/25/1932,9
CH_97_SE_end,CH_97,5,2,,08/25/1932,9
CH_97_SW_end,CH_97,4,2,,08/25/1932,9
CH_97_NW_start,CH_97,4,3,0.45,08/27/1932,11
CH_97_NE_start,CH_97,5,3,0.45,08/27/1932,11
CH_97_SE_start,CH_97,5,2,0.45,08/27/1932,11
CH_97_SW_start,CH_97,4,2,0.45,08/27/1932,11
CH_97_NW_end,CH_97,4,3,,08/27/1932,11
CH_97_NE_end,CH_97,5,3,,08/27/1932,11
CH_97_SE_end,CH_97,5,2,,08/27/1932,11
CH_97_SW_end,CH_97,4,2,,08/27/1932,11
CH_97_NW_start,CH_97,4,3,0.7,08/28/1932,12
CH_97_NE_start,CH_97,5,3,0.7,08/28/1932,12
CH_97_SE_start,CH_97,5,2,0.8,08/28/1932,12
CH_97_SW_start,CH_97,4,2,0.8,08/28/1932,12
CH_97_NW_end,CH_97,4,3,0.35,08/28/1932,12
CH_97_NE_end,CH_97,5,3,0.35,08/28/1932,12
CH_97_SE_end,CH_97,5,2,0.2,08/28/1932,12
CH_97_SW_end,CH_97,4,2,0.2,08/28/1932,12
